date,ip,port,service,x64_config_spawn_to_x64,x64_config_spawn_to_x86,dns_idle,user_agent,x64_config_http_method_path_2,x86_config_spawn_to_x64,x86_config_spawn_to_x86,x86_config_http_method_path_2,watermark,c2_host_header
2024-08-01,23.95.233.215,443,https,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,,,/jquery-3.3.2.min.js,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,/jquery-3.3.2.min.js,987654321,
2024-08-01,47.97.79.97,443,https,%windir%\sysnative\svchost.exe,%windir%\syswow64\svchost.exe,,,/jquery-3.3.2.min.js,%windir%\sysnative\svchost.exe,%windir%\syswow64\svchost.exe,/jquery-3.3.2.min.js,391144938,Host: haifang310.com
2024-08-01,1.15.248.225,443,https,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,,,/submit.php,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,/submit.php,987654321,
2024-08-01,77.242.250.36,443,https,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,,,/jquery-3.3.2.min.js,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,/jquery-3.3.2.min.js,888072749,
2024-08-01,47.245.94.124,443,https,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,,,/submit.php,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,/submit.php,987654321,
2024-08-01,8.134.11.7,443,https,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,,,/submit.php,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,/submit.php,987654321,
2024-08-01,23.26.137.34,443,https,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,,,/submit.php,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,/submit.php,987654321,Host: /crowdstrike&Eset
2024-08-01,8.138.43.240,443,https,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,,,/baidu/post/api,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,/baidu/post/api,666666666,
2024-08-01,43.138.20.107,443,https,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,,,/api/y,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,/api/y,987654321,
2024-08-01,43.153.202.176,443,https,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,,,/ky,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,/fam_newspaper,987654321,
2024-08-01,8.140.60.136,443,https,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,,,/jquery-3.3.2.min.js,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,/jquery-3.3.2.min.js,391144938,
2024-08-01,176.109.69.246,443,https,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,,,/jquery-3.3.2.min.js,%windir%\sysnative\dllhost.exe,%windir%\syswow64\dllhost.exe,/jquery-3.3.2.min.js,0,
2024-08-01,59.110.136.135,443,https,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,,,/api/postit,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,/api/postit,987654321,Host: demo.ez-wms.com:51ape.cc
2024-08-01,110.40.138.5,443,https,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,,,/submit.php,%windir%\sysnative\rundll32.exe,%windir%\syswow64\rundll32.exe,/submit.php,987654321,
